City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Isangel,VU,-19.55,169.2667,78.84,87,100,9.4,overcast clouds
319,Guerrero Negro,MX,27.9769,-114.0611,60.84,75,95,15.3,overcast clouds
320,Lao Cai,VN,22.4833,103.95,71.69,96,65,0.92,broken clouds
321,Morris,US,40.8334,-74.5329,57.99,96,100,1.99,light rain
322,Tukrah,LY,32.5341,20.5791,62.1,51,70,15.57,broken clouds
323,Lumsden,CA,50.6501,-104.8678,35.01,75,90,21.85,overcast clouds
324,Jiuquan,CN,39.7432,98.5174,48.54,49,77,8.57,broken clouds
325,Hobart,AU,-42.8794,147.3294,48.2,66,90,13.8,overcast clouds
326,Tigre,AR,-34.426,-58.5796,64.99,72,90,16.11,overcast clouds
327,Constantine,DZ,36.365,6.6147,73.4,38,0,11.5,clear sky
328,Resistencia,AR,-27.4606,-58.9839,66.99,72,75,12.66,moderate rain
329,Chervishevo,RU,56.9464,65.4278,53.6,43,0,17.9,clear sky
330,Sur,OM,22.5667,59.5289,84.27,57,0,2.1,clear sky
331,Pimentel,PE,-6.8367,-79.9342,77.0,65,0,3.44,clear sky
332,Nouadhibou,MR,20.931,-17.0347,80.6,41,0,12.66,clear sky
333,Broken Hill,AU,-31.95,141.4333,53.6,47,0,11.5,clear sky
334,Hauterive,FR,46.0901,3.4459,48.2,87,90,8.05,moderate rain
335,Sembakung,ID,3.8167,117.25,82.4,83,40,2.3,light rain
336,Agaro,ET,7.85,36.65,82.31,29,99,3.96,overcast clouds
337,Gweta,BW,-20.1833,25.2333,85.98,17,0,9.73,clear sky
338,Coahuayana,MX,18.7333,-103.6833,73.4,49,20,1.74,few clouds
339,Okhotsk,RU,59.3833,143.3,18.79,89,100,19.57,light snow
340,Wewak,PG,-3.5534,143.6268,78.37,89,100,7.25,overcast clouds
341,Sarakhs,IR,36.5449,61.1577,84.2,15,0,7.81,clear sky
342,San Cristobal,VE,7.7669,-72.225,84.2,61,40,2.3,scattered clouds
343,Gimbi,ET,9.1667,35.8333,82.2,17,46,6.96,scattered clouds
